StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q15
2022-05-03 16:11:45,2022-05-03 16:17:08,IP Address,86.130.197.48,100,323,True,2022-05-03 16:17:09,R_56aX7114lkraFUJ,,,,,51.9624,0.8484,anonymous,EN,I consent,I've played through the first tutorial,No,Attack the mages BEFORE the ritual went critical,,Very important,Extremely important,Moderately important,Very important,,A lot,A great deal,A little,A lot,,6,6,A moderate amount,A moderate amount,,Very Invested,Incredibly invested,A little invested,A little invested,,A moderate amount,A moderate amount,A great deal,A great deal,,A great deal,A great deal,A great deal,A great deal,,A lot,A great deal,A little,A moderate amount,,When the objective has an outcome on the game in relation to lore or events.,"I feel motivated to achieve the objective to see the outcomes and effects it has on the game upon completion. E.g. in FFXIII-3, an optional mission to kill every single monster till there was 1 left of its kind caused a shiny stronger version to appear as it was the last one before extinction. You also unlocked an additional dungeon for doing so.",I unfortunately barely made it past round 4 as unsure how to heal units. Thought I could capture a tower and use it to heal/recruit more troops like in the tutorial part 1. Might need to do part 2 to help me win it
2022-05-30 15:34:18,2022-05-30 15:39:38,IP Address,86.154.179.114,100,319,True,2022-05-30 15:39:38,R_1jSUtkZf8fYP5nA,,,,,50.9288,-0.3274,anonymous,EN,I consent,Extremely familiar with the game,Yes,Not ever attack the mages,,Very important,Not at all important,Moderately important,,,A moderate amount,Not at all,A moderate amount,,,A great deal,A littl,A great deal,,,A little invested,Not at all,Moderately invested,,,A moderate amount,None at all,A great deal,,,None at all,None at all,None at all,,,None at all,None at all,None at all,,,A challenge to overcome.,"I enjoy overcoming a challenge; there's no point if victory is a foregone conclusion, there has to be the possibility of failure. And that means once in a while there's a challenge I fail to overcome, a game I fail to beat (on whatever difficulty settings/self-imposed challenges I'm using), and that's fine.","I have no idea what you're talking about the ritual going critical. Part way through attacking it I had what looked like half a conversation (I guess enemy units were supposed to have lines but they were all dead so those lines were skipped entirely), so I had no idea what was going on, why I'd even want to turn on the mages, or why it turned into a broken wasteland once I destroyed the ritual."
2022-06-14 10:29:04,2022-06-14 10:33:39,IP Address,195.250.169.122,81,275,False,2022-06-21 10:33:43,R_30w46Yu5kVuBAfD,,,,,,,anonymous,EN,I consent,Extremely familiar with the game,No,Not ever attack the mages,,Very important,Moderately important,Moderately important,,,A moderate amount,A moderate amount,A moderate amount,,,A lot,A lot,A lot,,,Moderately invested,Very Invested,Incredibly invested,,,A lot,A lot,A great deal,,,A moderate amount,None at all,A moderate amount,,,A moderate amount,A moderate amount,A lot,,,,,
2022-06-27 10:59:42,2022-06-27 11:03:20,IP Address,118.200.10.70,100,217,True,2022-06-27 11:03:20,R_1kNYCvziBoVas1q,,,,,1.2835,103.8376,anonymous,EN,I consent,Extremely familiar with the game,Yes,Not ever attack the mages,,Extremely important,Extremely important,Very important,,,A great deal,A great deal,A lot,,,A lot,A lot,A lot,,,Very Invested,Very Invested,Moderately invested,,,A great deal,A lot,A moderate amount,,,A moderate amount,A moderate amount,A great deal,,,A moderate amount,A great deal,A moderate amount,,,A great prize after.,Excited to see the great prize.,None.
2022-06-27 15:26:54,2022-06-27 15:31:27,IP Address,80.174.107.27,100,272,True,2022-06-27 15:31:27,R_29ujruEcY0dPpam,,,,,40.4163,-3.6934,anonymous,EN,I consent,Extremely familiar with the game,No,Not ever attack the mages,,Extremely important,Extremely important,Very important,,,A moderate amount,A moderate amount,A lot,,,A moderate amount,A lot,A lot,,,A little invested,Moderately invested,A little invested,,,A lot,A moderate amount,A great deal,,,A moderate amount,A moderate amount,A little,,,A little,A little,None at all,,,Something exiting or a challenge,I want to enjoy the process of completing it as well as riping the rewards,Good luck with your project.
2022-06-30 11:35:19,2022-06-30 11:43:43,IP Address,212.122.95.245,100,503,True,2022-06-30 11:43:43,R_2Ep0UiM4JOZahjb,,,,,54.6955,25.3028,anonymous,EN,I consent,Extremely familiar with the game,Yes,Attack the mages BEFORE the ritual went critical,,Very important,Very important,Very important,Very important,,A moderate amount,A lot,A little,A moderate amount,,A great deal,A lot,A lot,A lot,,Moderately invested,Very Invested,Moderately invested,Moderately invested,,A moderate amount,A moderate amount,A lot,A moderate amount,,A little,A moderate amount,A lot,A moderate amount,,A moderate amount,A moderate amount,A little,A lot,,that I see I can help someone,it is important to be helpful an positive,you allowed mods to be used ...
2022-07-01 15:55:48,2022-07-01 16:02:39,IP Address,108.197.19.17,100,410,True,2022-07-01 16:02:39,R_33ehAntQZWgW86x,,,,,42.354,-87.8675,anonymous,EN,I consent,Extremely familiar with the game,Yes,Attack the mages AFTER the ritual went critical,No,Very important,Very important,Slightly important,,Moderately important,A moderate amount,A moderate amount,A moderate amount,,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,A moderate amount,Very Invested,Very Invested,Moderately invested,,Not at all,A great deal,A moderate amount,A great deal,,A lot,A great deal,A great deal,A great deal,,A great deal,A lot,A little,A little,,A little,"Personal attachment to plot or characters. Or, a really unique premise.",See above.,I didn't have line-of-sight on the ritual when it went critical so I missed some of the plot.
2022-07-03 06:54:29,2022-07-03 07:31:20,IP Address,86.171.215.250,100,2210,True,2022-07-03 07:31:20,R_2dLahC1o15b4Akz,,,,,50.8546,0.5362,anonymous,EN,I consent,I've played through the first tutorial,No,Not ever attack the mages,,Slightly important,Very important,Very important,,,A little,A moderate amount,A lot,,,A lot,A great deal,A lot,,,Moderately invested,Moderately invested,Very Invested,,,A little,A moderate amount,A lot,,,A lot,A moderate amount,None at all,,,None at all,A lot,A moderate amount,,,The anticipation of a reward (can be satisfaction or narrative real),"As someone who likes to play hard games I am often driven by the anticipation of how I will feel once the objective is completed, which is often satisfaction after having completed it after a number of attempts. In this case I know I’m going to get a reward and expect it will be worth the effort. Implying there will be a reward is sufficient provided it’s one I anticipate is worth the effort. If the game or series has delivered outcomes I find satisfyingly in the past I am more likely to have high anticipation of the reward.  ","Having a mage rush to the frontline threw me and my strategy, which kind of made me forget about the ritual and focus on defeating the enemy before they killed the mages. I think potentially having a reminder of the time limit after a few rounds would probably make sure players wouldn’t do this and could also increase the sense of urgency. "
2022-07-05 06:01:03,2022-07-05 06:03:51,IP Address,176.173.208.105,100,167,True,2022-07-05 06:03:51,R_3sjjRS94TWx00Vj,,,,,45.1766,5.7205,anonymous,EN,I consent,Extremely familiar with the game,Yes,Not ever attack the mages,,Extremely important,Very important,Not at all important,,,A great deal,A lot,Not at all,,,6,A great deal,Not at all,,,A little invested,Very Invested,Not at all,,,A great deal,A great deal,None at all,,,A lot,A lot,None at all,,,A little,A moderate amount,A great deal,,,It is required to win,,
2022-07-09 05:10:14,2022-07-09 05:41:58,IP Address,86.16.112.120,100,1903,True,2022-07-09 05:41:58,R_2wBLwlZz8H54SSZ,,,,,50.9166,-1.2678,anonymous,EN,I consent,I've played through both tutorials,No,Not ever attack the mages,,Extremely important,Extremely important,Moderately important,,,A lot,A great deal,A little,,,A great deal,6,A moderate amount,,,Very Invested,Incredibly invested,Not at all,,,A moderate amount,A little,None at all,,,A great deal,A great deal,A great deal,,,A lot,A great deal,A lot,,,"I want to think it'll be a good outcome, does that make sense? When a game wants me to do something that is Obviously Bad for the world, I'm reluctant. ","Especially in Strategy games, it's intense focus. There's a goal and a potential straight line to it, but there'll always be obstacles, so I'm constantly thinking about different banching routes to take.",
2022-07-09 12:05:34,2022-07-09 12:08:06,IP Address,71.179.91.74,100,151,True,2022-07-09 12:08:06,R_3iRuUATOyVe0RUf,,,,,39.4126,-76.5789,anonymous,EN,I consent,Extremely familiar with the game,Yes,Not ever attack the mages,,Extremely important,Extremely important,Moderately important,,,A great deal,A great deal,A lot,,,6,6,A lot,,,Incredibly invested,Incredibly invested,Very Invested,,,A great deal,A little,A lot,,,None at all,None at all,None at all,,,A little,None at all,None at all,,,,,
2022-07-11 03:36:48,2022-07-11 04:06:21,IP Address,109.154.140.104,100,1773,True,2022-07-11 04:06:22,R_25ATgZ4RVxbTMkg,,,,,51.489,-0.215,anonymous,EN,I consent,I've never played it before,No,Not ever attack the mages,,Not at all important,Not at all important,Extremely important,,,A lot,A moderate amount,A moderate amount,,,A lot,A lot,A moderate amount,,,Incredibly invested,Very Invested,Very Invested,,,None at all,None at all,A lot,,,A great deal,A great deal,A great deal,,,None at all,None at all,A lot,,,If there is weight behind the objective from a character perspective or if it's just a really cool thing to do. ,excited to achieve it. ,"It was very confusing that you couldn't controlt he mages even though they were on our side. I might be too unfamiliar with the game to achieve this scenario, but I never made is past killing 3 or 4 enemies. I did not interact with anything related to the ritual at all. "
2022-07-04 10:50:46,2022-07-04 10:57:07,IP Address,103.91.231.234,81,380,False,2022-07-11 10:57:13,R_tSNlDmGO8btQwtH,,,,,,,anonymous,EN,I consent,Extremely familiar with the game,Yes,Attack the mages AFTER the ritual went critical,Yes,Moderately important,Very important,Very important,,Moderately important,A moderate amount,A moderate amount,A moderate amount,,A moderate amount,Not at all,Not at all,Not at all,,Not at all,A little invested,A little invested,A little invested,,A little invested,A moderate amount,A moderate amount,A moderate amount,,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,A moderate amount,None at all,None at all,None at all,,None at all,,,
2022-07-05 11:47:24,2022-07-05 11:50:02,IP Address,84.226.61.72,81,158,False,2022-07-12 11:50:04,R_25sjyzf4BdCknhr,,,,,,,anonymous,EN,I consent,Extremely familiar with the game,No,Not ever attack the mages,,Not at all important,Not at all important,Extremely important,,,A lot,A lot,A great deal,,,A littl,6,6,,,Not at all,Not at all,Incredibly invested,,,None at all,A little,A moderate amount,,,None at all,None at all,A great deal,,,A moderate amount,None at all,A great deal,,,,,
2022-07-14 04:12:04,2022-07-14 04:21:54,IP Address,78.105.228.129,100,589,True,2022-07-14 04:21:54,R_1kYzFkCy0d3AUyU,,,,,51.5507,-0.0537,anonymous,EN,I consent,I've played through the first tutorial,No,Not ever attack the mages,,Slightly important,Slightly important,Extremely important,,,A moderate amount,A moderate amount,A great deal,,,A moderate amount,A moderate amount,6,,,A little invested,A little invested,Incredibly invested,,,A little,A moderate amount,A great deal,,,A lot,A moderate amount,A lot,,,A little,A little,A lot,,,"I tend to complete almost every objective presented to me by a game, and this is often in the form of clear (often measurable) directives—collect this thing, find this person, your average side quest kind of stuff. Personally, and I think it's just a quirk of mine, I tend to be a little demotivated by vague, more exploratory objectives. The other crucial thing of course is that the objective is rewarding - an upgrade, a new item, a bit of narrative that you otherwise wouldn't see, all those things can of course make for an appealing objective.","Some simple objectives I would describe as mundanely as a satisfying errand, one that I can complete with a certain degree of proceduralness, which I often find relaxing. Other, more world-building objectives I would describe as high stakes, emotional (say, for example, escaping the underworld in Hades), and well-justified by the plot.","I think that despite playing the first tutorial, I wasn't familiar enough to truly grasp the stakes - I still am confused about what, if anything, of the ritual I saw. The blue mages were going off to do their own thing, but they seemed to be friendly so I left them alone and focused on clearing the enemies because I thought then I'd be able to find the ritual no problem. Unfortunately I let my hero get killed like an idiot on turn ~6 so I maybe didn't get to see where it was headed. "
2022-07-20 14:47:25,2022-07-20 14:51:55,IP Address,86.149.133.96,100,270,True,2022-07-20 14:51:56,R_1kNEaz1e0VmzIjR,,,,,51.521,-3.2037,anonymous,EN,I consent,I've played through the first tutorial,Yes,Attack the mages AFTER the ritual went critical,No,Very important,Extremely important,Slightly important,,Extremely important,A great deal,A great deal,A moderate amount,,A great deal,A great deal,A great deal,Not at all,,A great deal,Moderately invested,Very Invested,A little invested,,Incredibly invested,A lot,A lot,A moderate amount,,A lot,A moderate amount,A little,A great deal,,A little,A little,A little,A little,,A little,Doing something heroic - saving the world or people I care about,"I'm not sure, I definitely feel bad if I don't - I actually restarted so I could focus on finding the ritual rather than killing the others first","I kind of felt like I was being the bad guy there at the start, not sure if that was intended"
2022-07-21 10:12:57,2022-07-21 10:18:13,IP Address,188.80.181.146,100,315,True,2022-07-21 10:18:14,R_bDCLwK5KbeyjqY9,,,,,41.1384,-8.6168,anonymous,EN,I consent,I've played through the first tutorial,Yes,Not ever attack the mages,,Slightly important,Slightly important,Slightly important,,,A little,A little,A moderate amount,,,A moderate amount,A moderate amount,A moderate amount,,,A little invested,A little invested,A little invested,,,A little,A little,A little,,,A lot,A lot,A lot,,,A moderate amount,A moderate amount,A moderate amount,,,I've to feel ingrained in the world. ,"Sincerely, this type of game doesn't do much for me. So I'd say, try it for yourself and see if it's your thing.","As I said, I'd to feel invested in the world. This type of game doesn't do it for me. It has been years since I played a game of this kind, so I felt like I didn't understand half of what was going on."
2022-07-26 17:41:47,2022-07-26 18:02:43,IP Address,24.241.247.191,100,1256,True,2022-07-26 18:02:44,R_2QnBFvpY9gSpBeF,,,,,34.7234,-82.4651,anonymous,EN,I consent,Extremely familiar with the game,Yes,Attack the mages AFTER the ritual went critical,No,Extremely important,Very important,Slightly important,,Extremely important,A great deal,A great deal,A moderate amount,,A great deal,A lot,A lot,Not at all,,A lot,Very Invested,Very Invested,Not at all,,Incredibly invested,A great deal,A moderate amount,A moderate amount,,None at all,A little,A lot,None at all,,A great deal,A moderate amount,A lot,A little,,A great deal,(For single player games) The idea that completing that objective will further the story in an interesting way. (multiplayer games) The idea that I have defeated other real people in a contest of skill.,"I feel somewhat anxious until I can plan a clear path to complete the objective. After I have planned a clear path, I feel powerful while enacting that path.",I felt cheated because I lost a lot of units defending the mages. This being caused by them playing too aggressively. This caused me to be unable to kill the mages after the ritual went critical. I find this frustrating.
